Gene	Length	Ribosome	mRNA	TranslatioEfficiency	FoldingEnergy	uATG	UTR	UTR_GC
YAL001C	1160	18.12	37.8	0.479365079365079	NA	FALSE	NA	NA
YAL002W	1274	5.73	22.17	0.258457374830853	-7	TRUE	136	0.352941176470588
YAL003W	206	7065.07	4621.93	1.52859736084276	-1.5	TRUE	22	0.363636363636364
YAL007C	215	209.47	212.43	0.986065998211175	-9.4	TRUE	76	0.381578947368421
YAL008W	198	95.55	49.96	1.91253002401922	-9.3	TRUE	49	0.408163265306122
YAL009W	259	18.89	34.96	0.54033180778032	-18	TRUE	26	0.384615384615385
YAL010C	493	11.05	16.67	0.662867426514697	-5.5	TRUE	42	0.380952380952381
YAL011W	625	10.5	17.4	0.603448275862069	-9	TRUE	15	0.333333333333333
YAL012W	394	1094.02	568.35	1.92490542799331	-1.5	TRUE	65	0.4
YAL013W	405	40.68	25.52	1.59404388714734	-8	TRUE	19	0.263157894736842
YAL014C	255	29.91	63.3	0.472511848341232	-13.3	TRUE	49	0.408163265306122
YAL015C	399	13.4	23.07	0.580840918942349	NA	FALSE	NA	NA
YAL016W	635	155	143.31	1.08157141860303	-6.9	TRUE	88	0.375
YAL017W	1356	20.26	50.59	0.400474402055742	NA	FALSE	NA	NA
YAL019W	1131	36.23	74.28	0.487749057619817	-13.4	TRUE	111	0.333333333333333
YAL020C	333	13.6	25.42	0.53501180173092	NA	FALSE	NA	NA
YAL021C	837	60.77	92.55	0.656618044300378	NA	FALSE	NA	NA
YAL022C	517	36.38	61.02	0.596197967879384	-11.7	TRUE	17	0.294117647058824
YAL023C	759	226.78	342.37	0.662382802231504	-5.9	TRUE	89	0.370786516853933
YAL024C	1435	7.82	25.86	0.302397525135344	NA	FALSE	NA	NA
YAL025C	306	133.77	58.06	2.30399586634516	-7.2	TRUE	24	0.333333333333333
YAL026C	1355	25.1	74.53	0.336777136723467	NA	FALSE	NA	NA
YAL027W	261	14.4	18.86	0.763520678685048	-4.9	TRUE	81	0.37037037037037
YAL028W	528	2.59	8.11	0.319358816276202	NA	FALSE	NA	NA
YAL029C	1471	20.31	79.19	0.256471776739487	NA	FALSE	NA	NA
YAL030W	117	134.79	127.45	1.05759121224009	-11	TRUE	23	0.347826086956522
YAL031C	760	11.53	26.23	0.4395730080061	NA	FALSE	NA	NA
YAL032C	379	19.56	24.41	0.801310938140106	-5	TRUE	21	0.333333333333333
YAL033W	173	56.85	61.73	0.92094605540256	NA	FALSE	NA	NA
YAL034C	413	2.57	18.23	0.140976412506857	NA	FALSE	NA	NA
YAL034WA	289	16.1	14.48	1.11187845303867	-9	TRUE	45	0.377777777777778
YAL035W	1002	420.29	403.99	1.04034753335479	-4	TRUE	27	0.37037037037037
YAL036C	369	175.34	147.38	1.18971366535487	NA	FALSE	NA	NA
YAL038W	500	15983.24	11070.27	1.44379857040524	-4	TRUE	28	0.392857142857143
YAL039C	269	43.33	21.95	1.97403189066059	-3.2	TRUE	57	0.385964912280702
YAL040C	580	11.13	35.55	0.313080168776371	-8.8	TRUE	322	0.397515527950311
YAL041W	854	27.46	53.48	0.513462976813762	-13.7	TRUE	33	0.393939393939394
YAL042W	415	172.3	263.39	0.65416302820912	-11.7	TRUE	17	0.294117647058824
YAL043C	785	30.39	55.3	0.549547920433996	NA	FALSE	NA	NA
YAL044C	170	704.01	450.75	1.56186356073211	-7.3	TRUE	10	0.5
YAL044WA	110	132.76	115.43	1.15013428051633	-12.7	TRUE	2	1
YAL046C	118	114.48	106.35	1.07644569816643	NA	FALSE	NA	NA
YAL047C	622	9.27	16.7	0.555089820359281	NA	FALSE	NA	NA
YAL048C	662	9.92	19.11	0.519099947671376	-13.2	TRUE	2	1
YAL049C	246	123.6	94.23	1.31168417701369	NA	FALSE	NA	NA
YAL051W	1047	16.27	32.25	0.504496124031008	-8.8	TRUE	26	0.384615384615385
YAL053W	783	47.4	63.73	0.743762749097756	NA	FALSE	NA	NA
YAL055W	180	22.93	23.24	0.986660929432014	-3.4	TRUE	1	1
YAL056W	880	8.51	39.15	0.217369093231162	NA	FALSE	NA	NA
YAL058W	502	22.87	44.41	0.514974104931322	NA	FALSE	NA	NA
YAL059W	212	89.21	85.66	1.04144291384544	NA	FALSE	NA	NA
YAL060W	382	175.34	187.71	0.934100474135635	NA	FALSE	NA	NA
YAL061W	417	27.94	21.72	1.28637200736648	NA	FALSE	NA	NA
YAR002CA	219	351.91	322.26	1.09200645441569	NA	FALSE	NA	NA
YAR002W	539	78.64	70.67	1.11277769916513	-3.9	TRUE	43	0.372093023255814
YAR003W	426	15.95	33.97	0.469531939947012	-11.5	TRUE	86	0.383720930232558
YAR007C	621	102.65	82.58	1.24303705497699	NA	FALSE	NA	NA
YAR008W	275	24.93	28.99	0.85995170748534	NA	FALSE	NA	NA
YAR014C	709	41.09	69.97	0.587251679291125	-11.8	TRUE	151	0.357615894039735
YAR015W	306	284.91	215.52	1.32196547884187	-12.6	TRUE	104	0.336538461538462
YAR018C	435	17.35	34.73	0.499568096746329	NA	FALSE	NA	NA
YAR019C	974	4.97	16.27	0.305470190534726	-10.3	TRUE	34	0.382352941176471
YAR027W	235	69.28	66.39	1.04353065220666	NA	FALSE	NA	NA
